Materials,vs_wet_a,vs_wet_b,vs_dry_a,vs_dry_b,miu_wet_a,miu_wet_b,miu_dry_a,miu_dry_b,rho_wet_a,rho_wet_b,rho_dry_a,rho_dry_b,dc_wet_a,dc_wet_b,dc_dry_a,dc_dry_b,ec_wet_a,ec_wet_b,ec_dry_a,ec_dry_b
Fat Clays,80,200,-,-,0.47,0.49,0.15,0.35,1500,2100,1200,1800,15,40,2,6,2,1000,0,0
Lean Clays,200,600,-,-,0.47,0.49,0.15,0.35,1500,2100,1200,1800,15,40,2,6,2,1000,0,0
Silts,80,300,-,-,0.47,0.49,0.15,0.35,1500,2100,1200,1800,5,30,2,3,1,100,0,0
Loose Sand,80,250,-,-,0.47,0.49,0.15,0.35,1500,2100,1200,1800,20,30,3,5,0.1,1,0.01,0.01
Dense Sand,200,500,-,-,0.47,0.49,0.15,0.35,1500,2100,1200,1800,20,30,3,5,0.1,1,0.01,0.01
Gravel,300,900,-,-,0.47,0.49,0.15,0.35,1500,2100,1200,1800,4,11,3,7,0.1,5,0.01,0.1
Weathered Rock,600,1000,-,-,0.2,0.25,-,-,2100,2800,-,-,5,10,2,3,0.5,100,0.5,100
Competent Rock,1200,2500,-,-,0.2,0.25,-,-,2100,2800,-,-,5,10,2,3,0.01,1,0.01,1
