Materials,vs_wet_a,vs_wet_b,vs_dry_a,vs_dry_b,miu_wet_a,miu_wet_b,miu_dry_a,miu_dry_b,rho_wet_a,rho_wet_b,rho_dry_a,rho_dry_b
Fat Clays,80,200,-,-,0.47,0.49,0.15,0.35,1500,2100,1200,1800
Lean Clays,200,600,-,-,0.47,0.49,0.15,0.35,1500,2100,1200,1800
Silts,80,300,-,-,0.47,0.49,0.15,0.35,1500,2100,1200,1800
Loose Sand,80,250,-,-,0.47,0.49,0.15,0.35,1500,2100,1200,1800
Dense Sand,200,500,-,-,0.47,0.49,0.15,0.35,1500,2100,1200,1800
Gravel,300,900,-,-,0.47,0.49,0.15,0.35,1500,2100,1200,1800
Weathered Rock,600,1000,-,-,0.2,0.25,-,-,2100,2800,-,-
Competent Rock,1200,2500,-,-,0.2,0.25,-,-,2100,2800,-,-
